FeatureNum	ProbeName	GeneSymbol
594	A_52_P61520	Nsun3
595	3xSLv1	
596	A_55_P2037162	Esyt1
597	A_30_P01024721	
598	ERCC-00073_60	
599	A_51_P396917	Zfyve21
600	A_55_P1956832	Pip5k1b
601	A_55_P1994388	Lsm14a
602	A_52_P180826	Ndufaf7
603	A_30_P01029756	
604	A_55_P2171993	Mrgbp
605	A_55_P2424060	Nrg3os
606	A_30_P01021083	
607	A_30_P01030360	
608	A_55_P2139889	Zfp783
609	A_66_P135804	
610	A_55_P2002743	
611	A_51_P109835	Uqcrc1
612	A_30_P01025358	
613	A_51_P249867	Snrnp48
614	ERCC-00168_248	
615	A_55_P2067321	Prune2
616	A_30_P01023722	
617	A_55_P2178803	Zbtb5
618	A_52_P683336	AY074887
619	A_55_P2143025	Sema3c
620	A_55_P2015832	Stmnd1
621	A_55_P2092310	
622	A_30_P01022686	
623	A_55_P2224830	D230044B12Rik
624	A_55_P2031596	
625	A_30_P01018995	
626	A_51_P111462	Arl15
627	A_55_P2039681	Gpr35
628	A_55_P2062632	Smc5
629	ERCC-00116_142	
630	A_55_P1968774	Ptk2b
631	A_55_P1984481	Mfn2
632	A_55_P2444515	Pakap
633	A_66_P111430	2410006H16Rik
634	ERCC-00077_121	
635	A_52_P373666	Zfp174
636	A_30_P01026733	
637	A_52_P258338	Mob3b
638	A_55_P2040810	
639	A_51_P487933	Psmd7
640	A_51_P134923	Rnf148
641	A_52_P98232	Hira
642	A_55_P1971679	
643	A_66_P108298	4632428C04Rik
644	A_51_P440568	Stk19
645	A_51_P496845	Capza2
646	A_55_P2071536	B230206L02Rik
647	A_55_P2120254	Avpi1
648	A_55_P2036417	Lrrc10b
649	A_30_P01025334	
650	ERCC-00075_180	
651	A_55_P1958804	Hsd3b3
652	A_51_P255304	Cav3
653	A_52_P136138	Fdft1
654	A_30_P01029361	
655	DarkCorner	
656	DarkCorner	
657	DarkCorner	
658	A_51_P184321	Aimp1
659	A_30_P01031250	
660	A_52_P383653	Cpne8
661	A_66_P121924	A330043C09Rik
662	A_52_P545831	Tssc1
663	A_55_P2015410	0610010K14Rik
664	A_55_P2112235	Cdk5rap2
665	A_51_P115178	Scara3
666	A_51_P313761	Shmt2
667	A_30_P01022341	
668	A_30_P01028502	
669	A_51_P302139	Mastl
670	A_55_P2115832	Rbmy
671	A_30_P01027171	
672	A_30_P01025577	
673	A_51_P115626	Shank3
674	A_55_P2045380	
675	A_55_P2116310	Trim45
676	A_55_P2005555	Celf2
677	A_55_P1981739	Donson
678	A_55_P2021953	Olfr700
679	A_55_P2227178	AI317158
680	A_55_P1989956	Adgrl2
681	A_30_P01031167	
682	A_30_P01028969	
683	A_51_P372172	Plod3
684	A_55_P2048980	Stxbp5l
685	A_55_P2024327	Kmt5c
686	A_55_P2159299	Ing1
687	A_52_P533198	Dnajc2
688	A_30_P01017767	
689	A_55_P2132697	LOC108167387
690	A_55_P2103452	Npy1r
691	A_30_P01033218	
692	A_55_P2100065	Fsd1l
693	A_30_P01030585	
694	A_55_P2217598	D10Ertd755e
695	A_30_P01021300	
696	A_51_P198411	Grb2
697	A_55_P2053372	Rbfox3
698	A_51_P129317	Mob4
699	A_66_P101835	Cd38
700	A_30_P01026223	
701	A_30_P01022804	
702	A_55_P2113758	Gria1
703	A_52_P424767	Rbbp4
704	A_66_P107174	
705	A_51_P114616	Batf
706	A_55_P2046910	
707	A_55_P1997145	Nlrx1
708	ERCC-00013_180	
709	A_55_P2168321	
710	A_30_P01031758	
711	A_30_P01030078	
712	A_30_P01031590	
713	A_55_P2054097	Gm43263
714	A_55_P2013499	
715	A_30_P01031900	
716	A_30_P01033650	
717	A_30_P01028712	
718	A_55_P1970693	
719	A_30_P01032260	
720	A_30_P01027750	
721	(+)E1A_r60_a107	
722	A_51_P118763	Ahctf1
723	A_51_P378576	B3gnt7
724	A_30_P01021682	
725	A_30_P01033450	
726	A_55_P2142695	E330014E10Rik
727	A_55_P2253279	
728	A_30_P01022605	
729	A_30_P01032129	
730	A_66_P107256	Kcna10
731	A_52_P502849	
732	A_30_P01030287	
733	A_55_P2156370	BB014433
734	A_30_P01025804	
735	A_51_P209518	Galnt1
736	A_51_P353592	Commd4
737	A_30_P01030147	
738	A_55_P2183940	Olfr47
739	ETG08_142674	
740	A_30_P01027500	
741	A_55_P2044627	Rnase10
742	A_30_P01024111	
743	A_55_P1958961	
744	A_52_P668478	Rhbdd2
745	A_55_P2098609	Spag16
746	A_55_P2076861	Sema6d
747	A_30_P01032677	
748	A_30_P01025386	
749	A_51_P101075	Cnppd1
750	A_51_P102518	Tmem225
751	A_55_P2058557	Dnajb5
752	A_55_P2068096	Rap1gap
753	A_55_P2007510	Pef1
754	A_55_P2101431	Mrps25
755	A_51_P113205	F13b
756	A_51_P211765	Rin1
757	A_55_P2105878	Ccr10
758	A_55_P1955847	
759	A_55_P2012702	Kcnh4
760	A_30_P01022291	
761	A_30_P01023888	
762	A_55_P2120897	
763	A_55_P2122619	Asb11
764	A_55_P1953663	Stk4
765	A_55_P1983553	AF529169
766	A_55_P2007464	
767	A_30_P01020897	
768	A_55_P2151672	
769	A_30_P01024612	
770	A_30_P01020457	
771	A_52_P622230	Gm4890
772	A_55_P2236622	
773	A_66_P139497	
774	A_55_P1952212	
775	A_52_P154858	
776	A_30_P01026678	
777	(+)E1A_r60_a135	
778	A_55_P1963758	Odam
779	A_55_P2022187	Arvcf
780	A_55_P1967855	Kctd20
781	A_55_P2009064	Psmc1
782	A_52_P413394	Ppef2
783	ERCC-00039_95	
784	A_52_P574190	Psmd12
785	A_30_P01032179	
786	A_51_P118132	Skil
787	A_55_P1982454	Eps8
788	A_30_P01017856	
789	A_30_P01018682	
790	A_55_P1954608	Lekr1
791	A_30_P01026564	
792	A_55_P2120080	Zmynd11
793	A_51_P511375	Ranbp2
794	A_51_P163354	Ogdhl
795	A_66_P102395	Elac2
796	A_55_P2036377	
797	A_55_P1992640	Hdac3
798	A_30_P01026851	
799	A_55_P2060188	Hira
800	A_30_P01031852	
801	A_52_P294514	Samt4
802	A_55_P2143095	LOC102634533
803	A_55_P2054225	Camsap2
804	A_55_P1988907	Eml4
805	ERCC-00126_533	
806	A_52_P512329	Zfp219
807	A_55_P2151762	Atg7
808	A_51_P201904	Ndufb5
809	A_55_P2022128	Cntnap1
810	ERCC-00024_60	
811	ERCC-00104_60	
812	A_55_P2098578	Tubd1
813	A_30_P01017914	
814	A_55_P2011341	
815	A_65_P17476	Gse1
816	A_30_P01022879	
817	A_30_P01026702	
818	A_55_P2091294	Hps5
819	A_30_P01018417	
820	DarkCorner	
821	A_55_P1959338	AI846148
822	A_51_P147274	Clec4a3
823	A_51_P367070	Il9
824	A_30_P01022616	
825	A_30_P01026045	
826	A_55_P2086741	Fam3a
827	A_55_P2094104	
828	A_55_P2014249	Sema3a
829	A_55_P2251082	Qk
830	A_55_P2466575	4930402H24Rik
831	A_55_P1974317	Surf6
832	A_55_P2091496	Dppa3
833	A_30_P01030821	
834	A_55_P2126207	Fthl17a
835	A_55_P1977558	Dip2b
836	A_30_P01024337	
837	A_55_P2370931	AU017674
838	A_55_P2070254	Pqbp1
839	A_55_P2145800	
840	A_55_P1995487	Rfx7
841	A_55_P2252891	
842	ERCC-00081_60	
843	A_55_P2169129	
844	A_52_P639028	Myt1l
845	A_55_P2046563	Cym
846	ERCC-00013_180	
847	A_51_P120823	Olfr868
848	A_55_P2028788	Slc39a11
849	A_51_P126067	Cd2
850	A_30_P01031466	
851	A_30_P01033003	
852	A_30_P01021252	
853	A_55_P2086659	Rad54l
854	A_52_P556462	Fancd2
855	A_30_P01025100	
856	A_66_P100853	Hist1h2ao
857	A_55_P2009882	Ccbe1
858	A_55_P1999760	Lrrc51
859	A_51_P117115	Olfr53
860	A_30_P01025325	
861	A_30_P01033562	
862	A_30_P01023778	
863	A_55_P2167999	Ldlr
864	A_51_P109295	Pcdhb3
865	A_52_P309890	Mcc
866	A_51_P113195	Upk1b
867	A_55_P2044982	Zfp74
868	A_30_P01026341	
869	A_30_P01026954	
870	A_30_P01023019	
871	A_55_P2049095	Atat1
872	ERCC-00003_63	
873	A_30_P01032030	
874	A_30_P01020746	
